,source_snt,simplified_snt
0,"meta - regression analysis of non - volume - equated studies showed a significant effect favoring higher frequencies , although the overall difference in magnitude of effect between frequencies of 1 and 3 + days per week was modest ."," study showed a significant effect favoring higher frequencies , although the overall difference in magnitude of effect between frequencies of 1 and 3 + days per week was modest ."
1,"four major capabilities were identified , each of which evolves as a result of using the tools ."," four major capabilities were identified , each of which evolves as a result of using the tools ."
2,"despite the vast range of severity in kidney disease ( e , g , , pre - dialysis , dialysis , transplant ) , exercise has a potential role in all patients suffering from the condition .",". despite the vast range of severity in kidney disease ( e , g , , pre - dialysis , dialys , transplant ) , exercise has a potential role in all patients suffering from the condition ."
3,motivated by recent financial crises significant research efforts have been put into studying contagion effects and herding behaviour in financial markets ., and herding behaviour in financial markets. motivated by recent financial crises significant research efforts have been put into studying contagion effects.
4,"with the advent of modern computing , cross - regional trading transactions can now be executed within milliseconds , a reality that is impossible without the advancements of software systems technology ."," transactions can now be executed within milliseconds , a reality that is impossible without the advancements of software systems technology."
5,the increasing prevalence of internet of things ( iot ) devices has made it inevitable that their pertinence to digital forensic investigations will increase into the foreseeable future ., devices (iot ) devices has made it inevitable that their pertinence to digital forensic investigations will increase into the foreseeable future.
6,"to efficiently check for collisions during planning , we developed a new approach that takes into account the shape of the robot and the obstacles .", that takes into account the shape of the robot and the obstacles.
7,"in particular , cloud computing , host and guest machine time can be manipulated in various ways by an attacker ."," computing in particular , cloud computing , host and guest machine time can be manipulated in various ways by an attacker."
8,"therefore , when an error message is reported , it is vital that the smart speaker gives an effective and proper response .",". therefore , when an error message is reported , it is vital that the smart speaker gives an effective and proper response ."
9,"remarkably , the necessary involvement of women in an enhancing scenario has not been discussed by its proponents .",". remarkably , the necessary involvement of women in an enhancing scenario has not been discussed by its proponents ."
10,"this review recommends safe and effective whole - body aerobic exercise at moderate intensity ( i , e , , 50 - 65 % of maximum oxygen intake , 30 - 60 min per session , 3 - 4 times a week ) that primarily focuses on the major muscle groups for the prevention and treatment of hypertension ."," exercise at moderate intensity (i , e , , 50 - 65 % of maximum oxygen intake , 30 - 60 min per session , 3 - 4 times a week ) that primarily focuses on the major muscle groups for the prevention and treatment of hypertension ."
11,"despite the lack of a unified feminist conclusion in the discussions about the merits and risks of human genome modification , there is an urgent need to clarify the role of women in this scenario .", of human genome modification. There is an urgent need to clarify the role of women in this scenario.
12,annotation of bioassay protocols using semantic web vocabulary is a way to make experiment descriptions machine - readable ., of bioassay protocols using semantic web vocabulary is a way to make experiment descriptions machine - readable .
13,however sensor based robot control overcomes many of the difficulties of uncertain models and unknown environments which limit the domain of application of the previous methods ., robot control overcomes many of the difficulties of uncertain models and unknown environments.
14,"what 's more , the methods through which the technology can be manipulated to secrete , disguise and protect fraudulent activities - all while staying away from corporate networks where they can readily be monitored and detected - are constantly evolving ."," ways through which technology can be manipulated to secrete , disguise and protect fraudulent activities are constantly evolving."
15,"significant differences were observed between the pharmacophore profiles obtained for the drug molecules and those obtained for the high - throughput screening compounds , which appear to be .", significant differences were observed between the pharmacophore profiles obtained for the drug molecules and the high - throughput screening compounds which appear to be .
16,the misinformation containment problem aims at limiting the spread of misinformation in online social networks by launching competing campaigns ., networks by launching competing campaigns. the misinformation containment problem aims at limiting the spread of misinformation in online social networks.
17,methods : systematic review with meta - analysis of randomized clinical trials ., with systematic with with methods with . methods methods . systematic methods systematic systematic review with analysis with methods review systematic analysis analysis systematic . analysis . review analysis review . with review methods
18,"for instance , we find a statistically significant abnormal return in response to earnings results and credit rating , but also for disclosures regarding business strategy , the health sector , as well as mergers and acquisitions .",". for instance , we find a statistically significant abnormal return in response to earnings results and credit rating , but also for disclosures regarding business strategy."
19,we present the same results in this research and compare them with other state - of - the - art methods of vision and learning based navigation ., navigation. we present the same results in this research and compare them with other state - of - the - art methods of vision and learning based navigation .
